代码,名称
881172,电子化学品
881125,汽车整车
881121,半导体及元件
881171,自动化设备
881110,化工合成材料
881124,消费电子
881117,通用设备
881109,化学制品
881105,煤炭开采加工
881123,其他电子
881107,油气开采及服务
881114,金属新材料
881166,国防军工
881119,仪器仪表
881174,厨卫电器
881126,汽车零部件
881132,黑色家电
881170,小金属
881120,电力设备
881168,工业金属
881129,通信设备
881136,服装家纺
881163,计算机应用
881122,光学光电子
881148,港口航运
881133,饮料制造
881143,医药商业
881175,医疗服务
881151,机场航运
881177,互联网电商
881104,农业服务
881179,其他社会服务
881128,汽车服务
881118,专用设备
881180,石油加工贸易
881130,计算机设备
881134,食品加工制造
881108,化学原料
881127,非汽车交运
881162,通信服务
881142,生物制品
881152,物流
881182,美容护理
881161,酒店及餐饮
881144,医疗器械
881173,小家电
881138,包装印刷
881167,非金属材料
881103,农产品加工
881164,传媒
881131,白色家电
881135,纺织制造
881116,建筑装饰
881112,钢铁
881169,贵金属
881139,家用轻工
881146,燃气
881165,综合
881141,中药
881181,环保
881156,保险及其他
881159,贸易
881160,景点及旅游
881178,教育
881140,化学制药
881115,建筑材料
881102,养殖业
881157,证券
881137,造纸
881145,电力
881155,银行
881158,零售
881149,公路铁路运输
881101,种植业与林业
881153,房地产开发
881176,房地产服务
