price,ask_vol,bid_vol,ask_amt,bid_amt,actbuy_cnt,actbuy_cnt_sb,actbuy_cnt_bg,actbuy_cnt_md,actbuy_cnt_sm,actbuy_vol,actbuy_vol_sb,actbuy_vol_bg,actbuy_vol_md,actbuy_vol_sm,actbuy_amt,actbuy_amt_sb,actbuy_amt_bg,actbuy_amt_md,actbuy_amt_sm,actsell_cnt,actsell_cnt_sb,actsell_cnt_bg,actsell_cnt_md,actsell_cnt_sm,actsell_vol,actsell_vol_sb,actsell_vol_bg,actsell_vol_md,actsell_vol_sm,actsell_amt,actsell_amt_sb,actsell_amt_bg,actsell_amt_md,actsell_amt_sm,actunk_cnt,actunk_cnt_sb,actunk_cnt_bg,actunk_cnt_md,actunk_cnt_sm,actunk_vol,actunk_vol_sb,actunk_vol_bg,actunk_vol_md,actunk_vol_sm,actunk_amt,actunk_amt_sb,actunk_amt_bg,actunk_amt_md,actunk_amt_sm,uptick_cnt,uptick_cnt_sb,uptick_cnt_bg,uptick_cnt_md,uptick_cnt_sm,uptick_vol,uptick_vol_sb,uptick_vol_bg,uptick_vol_md,uptick_vol_sm,uptick_amt,uptick_amt_sb,uptick_amt_bg,uptick_amt_md,uptick_amt_sm,downtick_cnt,downtick_cnt_sb,downtick_cnt_bg,downtick_cnt_md,downtick_cnt_sm,downtick_vol,downtick_vol_sb,downtick_vol_bg,downtick_vol_md,downtick_vol_sm,downtick_amt,downtick_amt_sb,downtick_amt_bg,downtick_amt_md,downtick_amt_sm,lvtick_cnt,lvtick_cnt_sb,lvtick_cnt_bg,lvtick_cnt_md,lvtick_cnt_sm,lvtick_vol,lvtick_vol_sb,lvtick_vol_bg,lvtick_vol_md,lvtick_vol_sm,lvtick_amt,lvtick_amt_sb,lvtick_amt_bg,lvtick_amt_md,lvtick_amt_sm,aop_cnt,aop_cnt_sb,aop_cnt_bg,aop_cnt_md,aop_cnt_sm,aop_vol,aop_vol_sb,aop_vol_bg,aop_vol_md,aop_vol_sm,aop_amt,aop_amt_sb,aop_amt_bg,aop_amt_md,aop_amt_sm,aoc_cnt,aoc_cnt_sb,aoc_cnt_bg,aoc_cnt_md,aoc_cnt_sm,aoc_vol,aoc_vol_sb,aoc_vol_bg,aoc_vol_md,aoc_vol_sm,aoc_amt,aoc_amt_sb,aoc_amt_bg,aoc_amt_md,aoc_amt_sm,bop_cnt,bop_cnt_sb,bop_cnt_bg,bop_cnt_md,bop_cnt_sm,bop_vol,bop_vol_sb,bop_vol_bg,bop_vol_md,bop_vol_sm,bop_amt,bop_amt_sb,bop_amt_bg,bop_amt_md,bop_amt_sm,boc_cnt,boc_cnt_sb,boc_cnt_bg,boc_cnt_md,boc_cnt_sm,boc_vol,boc_vol_sb,boc_vol_bg,boc_vol_md,boc_vol_sm,boc_amt,boc_amt_sb,boc_amt_bg,boc_amt_md,boc_amt_sm,trans_cnt,trans_vol,trans_amt,update_ts,snapshot_ts
79.3,100,0,7930.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,100,0,0,0,100,7930.0,0.0,0.0,0.0,7930.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2022-11-01 01:15:00.370000+00:00,2022-11-01 01:23:27+00:00
81.99,1800,0,147582.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,0,0,1,2,1800,0,0,1200,600,147582.0,0.0,0.0,98388.0,49194.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2022-11-01 01:15:04.040000+00:00,2022-11-01 01:23:27+00:00
73.0,0,2200,0.0,160600.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,800,0,0,800,0,58400.0,0.0,0.0,58400.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,20,0,0,2,18,4800,0,0,1800,3000,350400.0,0.0,0.0,131400.0,219000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2022-11-01 01:23:27.430000+00:00,2022-11-01 01:23:27+00:00
79.68,1000,0,79680.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,0,0,1,2,1000,0,0,700,300,79680.00000000001,0.0,0.0,55776.00000000001,23904.000000000004,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2022-11-01 01:15:01.710000+00:00,2022-11-01 01:23:27+00:00
74.33,0,200,0.0,14866.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,200,0,0,0,200,14866.0,0.0,0.0,0.0,14866.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2022-11-01 01:15:00.420000+00:00,2022-11-01 01:23:27+00:00
75.08,0,200,0.0,15016.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,200,0,0,0,200,15016.0,0.0,0.0,0.0,15016.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2022-11-01 01:15:00.420000+00:00,2022-11-01 01:23:27+00:00
76.59,0,200,0.0,15318.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,200,0,0,0,200,15318.0,0.0,0.0,0.0,15318.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2022-11-01 01:15:00.420000+00:00,2022-11-01 01:23:27+00:00
80.68,15000,0,1210200.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,2,15000,14600,0,0,400,1210200.0,1177928.0,0.0,0.0,32272.000000000004,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2022-11-01 01:15:02.330000+00:00,2022-11-01 01:23:27+00:00
80.8,17900,0,1446320.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9,1,0,1,7,17900,15200,0,1200,1500,1446320.0,1228160.0,0.0,96960.0,121200.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2022-11-01 01:21:19.970000+00:00,2022-11-01 01:23:27+00:00
80.5,27300,0,2197650.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,15,1,2,4,8,27300,13600,7100,5100,1500,2197650.0,1094800.0,571550.0,410550.0,120750.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2022-11-01 01:19:07.900000+00:00,2022-11-01 01:23:27+00:00
